Year,ISO_Code,Countries,Size of Government,Legal System & Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
2017,AGO,Angola,6.76,2.95,5.57,3.21,5.66
2017,ALB,Albania,7.53,5.06,9.65,8.34,7.77
2017,ARE,United Arab Emirates,5.85,5.67,9.06,8.05,7.24
2017,ARG,Argentina,5.71,3.98,6.47,6.55,5.65
2017,ARM,Armenia,7.4,5.86,9.48,8.2,7.54
2017,AUS,Australia,6.96,7.92,9.46,7.56,8.47
2017,AUT,Austria,5.66,7.93,9.42,8.09,7.45
2017,AZE,Azerbaijan,4.84,5.49,6.85,7.29,7.22
2017,BDI,Burundi,6.92,3.53,8.24,5.88,6.27
2017,BEL,Belgium,4.86,7.07,9.48,8.16,7.99
2017,BEN,Benin,7.06,4.18,6.69,6.08,6.4
2017,BFA,Burkina Faso,5.73,4.26,6.97,6.49,6.87
2017,BGD,Bangladesh,8.15,3.14,6.98,5.95,6.67
2017,BGR,Bulgaria,7.13,5.28,9.43,8.11,7.74
2017,BHR,Bahrain,6.97,5.22,9.36,7.42,7.81
2017,BHS,Bahamas,8.1,6.52,6.88,6.54,8.22
2017,BIH,Bosnia and Herzegovina,5.63,4.19,8.31,7.84,7.5
2017,BLR,Belarus,6.12,5.33,7.44,6.78,7.5
2017,BLZ,Belize,6.89,5.21,7.19,6.53,8.08
2017,BOL,Bolivia,5.89,3.48,9.34,7.03,4.93
2017,BRA,Brazil,5.65,4.53,9.42,7.13,4.41
2017,BRB,Barbados,6.27,5.88,6.16,6.96,6.99
2017,BRN,Brunei Darussalam,3.33,5.31,8.77,7.16,8.52
2017,BTN,Bhutan,6.91,6.41,6.82,6.28,7.46
2017,BWA,Botswana,6.37,5.88,9.26,7.44,7.9
2017,CAF,Central African Republic,6.5,2.73,6.67,4.69,5.54
2017,CAN,Canada,6.48,7.85,9.55,7.91,8.61
2017,CHE,Switzerland,7.6,8.4,9.93,7.62,8.48
2017,CHL,Chile,8.17,6.44,9.53,8.34,6.97
2017,CHN,China,4.67,5.58,8.5,6.81,6.55
2017,CIV,Cote d'Ivoire,5.93,4.21,7.12,5.92,6.67
2017,CMR,Cameroon,6.95,3.2,7.32,5.15,6.57
2017,COD,"Congo, Dem. Rep.",6.93,3.11,4.37,5.56,5.05
2017,COG,"Congo, Rep. of",5.61,3.1,5.74,5.39,5.56
2017,COL,Colombia,7.24,3.94,8.19,6.68,7.34
2017,CPV,Cape Verde,7.18,6.04,8.33,7.18,7.09
2017,CRI,Costa Rica,7.04,5.82,9.76,7.96,6.46
